date,region,Sales
2018-02-06,east,1731.0
2018-02-06,north,1638.0
2018-02-06,south,1647.0
2018-02-06,west,1557.0
2018-02-07,east,1542.0
2018-02-07,north,1587.0
2018-02-07,south,1698.0
2018-02-07,west,1635.0
2018-02-08,east,1503.0
2018-02-08,north,1602.0
2018-02-08,south,1536.0
2018-02-08,west,1701.0
2018-02-09,east,1782.0
2018-02-09,north,1758.0
2018-02-09,south,1662.0
2018-02-09,west,1515.0
2018-02-10,east,1650.0
2018-02-10,north,1662.0
2018-02-10,south,1557.0
2018-02-10,west,1674.0
2018-02-11,east,1563.0
2018-02-11,north,1554.0
2018-02-11,south,1587.0
2018-02-11,west,1764.0
2018-02-12,east,1569.0
2018-02-12,north,1758.0
2018-02-12,south,1608.0
2018-02-12,west,1653.0
2018-02-13,east,1773.0
2018-02-13,north,1572.0
2018-02-13,south,1716.0
2018-02-13,west,1725.0
2018-02-14,east,1698.0
2018-02-14,north,1767.0
2018-02-14,south,1710.0
2018-02-14,west,1512.0
2018-02-15,east,1524.0
2018-02-15,north,1746.0
2018-02-15,south,1734.0
2018-02-15,west,1614.0
2018-02-16,east,1527.0
2018-02-16,north,1578.0
2018-02-16,south,1782.0
2018-02-16,west,1752.0
2018-02-17,east,1641.0
2018-02-17,north,1785.0
2018-02-17,south,1689.0
2018-02-17,west,1575.0
2018-02-18,east,1551.0
2018-02-18,north,1644.0
2018-02-18,south,1674.0
2018-02-18,west,1737.0
2018-02-19,east,1605.0
2018-02-19,north,1563.0
2018-02-19,south,1647.0
2018-02-19,west,1539.0
2018-02-20,east,1500.0
2018-02-20,north,1698.0
2018-02-20,south,1575.0
2018-02-20,west,1551.0
2018-02-21,east,1665.0
2018-02-21,north,1737.0
2018-02-21,south,1542.0
2018-02-21,west,1548.0
2018-02-22,east,1668.0
2018-02-22,north,1635.0
2018-02-22,south,1632.0
2018-02-22,west,1764.0
2018-02-23,east,1641.0
2018-02-23,north,1533.0
2018-02-23,south,1563.0
2018-02-23,west,1773.0
2018-02-24,east,1725.0
2018-02-24,north,1629.0
2018-02-24,south,1698.0
2018-02-24,west,1722.0
2018-02-25,east,1635.0
2018-02-25,north,1596.0
2018-02-25,south,1710.0
2018-02-25,west,1659.0
2018-02-26,east,1524.0
2018-02-26,north,1686.0
2018-02-26,south,1533.0
2018-02-26,west,1530.0
2018-02-27,east,1578.0
2018-02-27,north,1665.0
2018-02-27,south,1695.0
2018-02-27,west,1620.0
2018-02-28,east,1743.0
2018-02-28,north,1767.0
2018-02-28,south,1593.0
2018-02-28,west,1557.0
2018-03-01,east,1527.0
2018-03-01,north,1668.0
2018-03-01,south,1782.0
2018-03-01,west,1668.0
2018-03-02,east,1746.0
2018-03-02,north,1635.0
2018-03-02,south,1569.0
2018-03-02,west,1773.0
2018-03-03,east,1569.0
2018-03-03,north,1539.0
2018-03-03,south,1500.0
2018-03-03,west,1557.0
2018-03-04,east,1614.0
2018-03-04,north,1773.0
2018-03-04,south,1644.0
2018-03-04,west,1674.0
2018-03-05,east,1557.0
2018-03-05,north,1533.0
2018-03-05,south,1653.0
2018-03-05,west,1746.0
2018-03-06,east,1659.0
2018-03-06,north,1719.0
2018-03-06,south,1719.0
2018-03-06,west,1800.0
2018-03-07,east,1608.0
2018-03-07,north,1581.0
2018-03-07,south,1602.0
2018-03-07,west,1650.0
2018-03-08,east,1698.0
2018-03-08,north,1611.0
2018-03-08,south,1530.0
2018-03-08,west,1668.0
2018-03-09,east,1506.0
2018-03-09,north,1746.0
2018-03-09,south,1524.0
2018-03-09,west,1704.0
2018-03-10,east,1746.0
2018-03-10,north,1788.0
2018-03-10,south,1719.0
2018-03-10,west,1584.0
2018-03-11,east,1608.0
2018-03-11,north,1692.0
2018-03-11,south,1635.0
2018-03-11,west,1590.0
2018-03-12,east,1602.0
2018-03-12,north,1599.0
2018-03-12,south,1518.0
2018-03-12,west,1659.0
2018-03-13,east,1554.0
2018-03-13,north,1644.0
2018-03-13,south,1611.0
2018-03-13,west,1515.0
2018-03-14,east,1512.0
2018-03-14,north,1515.0
2018-03-14,south,1632.0
2018-03-14,west,1776.0
2018-03-15,east,1605.0
2018-03-15,north,1677.0
2018-03-15,south,1503.0
2018-03-15,west,1647.0
2018-03-16,east,1590.0
2018-03-16,north,1506.0
2018-03-16,south,1737.0
2018-03-16,west,1767.0
2018-03-17,east,1710.0
2018-03-17,north,1593.0
2018-03-17,south,1614.0
2018-03-17,west,1662.0
2018-03-18,east,1698.0
2018-03-18,north,1650.0
2018-03-18,south,1755.0
2018-03-18,west,1659.0
2018-03-19,east,1500.0
2018-03-19,north,1683.0
2018-03-19,south,1509.0
2018-03-19,west,1545.0
2018-03-20,east,1629.0
2018-03-20,north,1647.0
2018-03-20,south,1614.0
2018-03-20,west,1677.0
2018-03-21,east,1593.0
2018-03-21,north,1743.0
2018-03-21,south,1569.0
2018-03-21,west,1578.0
2018-03-22,east,1653.0
2018-03-22,north,1578.0
2018-03-22,south,1581.0
2018-03-22,west,1578.0
2018-03-23,east,1749.0
2018-03-23,north,1761.0
2018-03-23,south,1611.0
2018-03-23,west,1764.0
2018-03-24,east,1800.0
2018-03-24,north,1716.0
2018-03-24,south,1710.0
2018-03-24,west,1728.0
2018-03-25,east,1740.0
2018-03-25,north,1743.0
2018-03-25,south,1764.0
2018-03-25,west,1707.0
2018-03-26,east,1533.0
2018-03-26,north,1509.0
2018-03-26,south,1641.0
2018-03-26,west,1752.0
2018-03-27,east,1533.0
2018-03-27,north,1767.0
2018-03-27,south,1590.0
2018-03-27,west,1704.0
2018-03-28,east,1524.0
2018-03-28,north,1671.0
2018-03-28,south,1527.0
2018-03-28,west,1629.0
2018-03-29,east,1686.0
2018-03-29,north,1722.0
2018-03-29,south,1557.0
2018-03-29,west,1779.0
2018-03-30,east,1554.0
2018-03-30,north,1734.0
2018-03-30,south,1776.0
2018-03-30,west,1725.0
2018-03-31,east,1605.0
2018-03-31,north,1617.0
2018-03-31,south,1635.0
2018-03-31,west,1785.0
2018-04-01,east,1710.0
2018-04-01,north,1761.0
2018-04-01,south,1530.0
2018-04-01,west,1506.0
2018-04-02,east,1662.0
2018-04-02,north,1509.0
2018-04-02,south,1797.0
2018-04-02,west,1530.0
2018-04-03,east,1614.0
2018-04-03,north,1767.0
2018-04-03,south,1767.0
2018-04-03,west,1533.0
2018-04-04,east,1566.0
2018-04-04,north,1767.0
2018-04-04,south,1761.0
2018-04-04,west,1623.0
2018-04-05,east,1692.0
2018-04-05,north,1506.0
2018-04-05,south,1512.0
2018-04-05,west,1749.0
2018-04-06,east,1632.0
2018-04-06,north,1701.0
2018-04-06,south,1752.0
2018-04-06,west,1515.0
2018-04-07,east,1788.0
2018-04-07,north,1725.0
2018-04-07,south,1611.0
2018-04-07,west,1617.0
2018-04-08,east,1557.0
2018-04-08,north,1656.0
2018-04-08,south,1674.0
2018-04-08,west,1701.0
2018-04-09,east,1641.0
2018-04-09,north,1686.0
2018-04-09,south,1782.0
2018-04-09,west,1557.0
2018-04-10,east,1698.0
2018-04-10,north,1686.0
2018-04-10,south,1527.0
2018-04-10,west,1728.0
2018-04-11,east,1581.0
2018-04-11,north,1671.0
2018-04-11,south,1527.0
2018-04-11,west,1764.0
2018-04-12,east,1782.0
2018-04-12,north,1653.0
2018-04-12,south,1626.0
2018-04-12,west,1749.0
2018-04-13,east,1674.0
2018-04-13,north,1539.0
2018-04-13,south,1752.0
2018-04-13,west,1749.0
2018-04-14,east,1674.0
2018-04-14,north,1569.0
2018-04-14,south,1794.0
2018-04-14,west,1638.0
2018-04-15,east,1602.0
2018-04-15,north,1515.0
2018-04-15,south,1527.0
2018-04-15,west,1653.0
2018-04-16,east,1548.0
2018-04-16,north,1602.0
2018-04-16,south,1707.0
2018-04-16,west,1527.0
2018-04-17,east,1704.0
2018-04-17,north,1599.0
2018-04-17,south,1728.0
2018-04-17,west,1539.0
2018-04-18,east,1515.0
2018-04-18,north,1545.0
2018-04-18,south,1797.0
2018-04-18,west,1719.0
2018-04-19,east,1767.0
2018-04-19,north,1713.0
2018-04-19,south,1674.0
2018-04-19,west,1767.0
2018-04-20,east,1677.0
2018-04-20,north,1668.0
2018-04-20,south,1620.0
2018-04-20,west,1509.0
2018-04-21,east,1644.0
2018-04-21,north,1683.0
2018-04-21,south,1743.0
2018-04-21,west,1578.0
2018-04-22,east,1557.0
2018-04-22,north,1572.0
2018-04-22,south,1545.0
2018-04-22,west,1626.0
2018-04-23,east,1665.0
2018-04-23,north,1710.0
2018-04-23,south,1659.0
2018-04-23,west,1521.0
2018-04-24,east,1689.0
2018-04-24,north,1503.0
2018-04-24,south,1650.0
2018-04-24,west,1743.0
2018-04-25,east,1758.0
2018-04-25,north,1623.0
2018-04-25,south,1503.0
2018-04-25,west,1557.0
2018-04-26,east,1740.0
2018-04-26,north,1713.0
2018-04-26,south,1734.0
2018-04-26,west,1563.0
2018-04-27,east,1674.0
2018-04-27,north,1716.0
2018-04-27,south,1791.0
2018-04-27,west,1716.0
2018-04-28,east,1584.0
2018-04-28,north,1632.0
2018-04-28,south,1641.0
2018-04-28,west,1590.0
2018-04-29,east,1740.0
2018-04-29,north,1713.0
2018-04-29,south,1593.0
2018-04-29,west,1638.0
2018-04-30,east,1593.0
2018-04-30,north,1653.0
2018-04-30,south,1590.0
2018-04-30,west,1602.0
2018-05-01,east,1506.0
2018-05-01,north,1785.0
2018-05-01,south,1764.0
2018-05-01,west,1536.0
2018-05-02,east,1791.0
2018-05-02,north,1623.0
